OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear,x,y
4163,12/31/2022 8:00:00 AM,005S126209,005,S1,26209,0.11,6100,,,,Southeast,S1 RAMP (MAIN ST TO SR 5 SB)  AFTER MILEPOST 0.01: LX26257-MAIN ST WYE CONNECTION,12df8fca-8bfc-4d30-a9c1-fa0d48a62d4d,2022,-13645014.1316065,6248711.16144415
4164,12/31/2022 8:00:00 AM,005P512754,005,P5,12754,0.12,2100,,,,West,P5 RAMP (CI12713 TO SR 512 WB)  AFTER MILEPOST 0.00: CI12713 INTERSECTION; BEGIN ROUTE,180b2f77-7852-46a5-a39c-c2ec12683699,2022,-13634244.6536199,5968717.30402126
4165,12/31/2022 8:00:00 AM,005R101218,005,R1,01218,0.45,3800,4.22,2.52,0.4,Southeast,R1 RAMP (SR 5 SB TO SR 502 EB)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE,a5b89e75-316a-4621-a92a-5ee06457cdcb,2022,-13656251.718956,5745490.13875344
4166,12/31/2022 8:00:00 AM,017R107542,017,R1,07542,0.18,1500,,,,Southwest,R1 RAMP (SR 17 TO SR 28)  AFTER MILEPOST 0.00: SR 17 SB INTERSECTION; BEGIN ROUTE,3451f84d-d781-4c16-84ab-baa5ed0090fc,2022,-13300958.9279534,6004513.70599193
4167,12/31/2022 8:00:00 AM,005Q111708,005,Q1,11708,0.07,5800,,,,East,Q1 RAMP (MOUNTS RD TO SR 5 NB)  AFTER MILEPOST 0.00: LX11670-MOUNTS RD INTERSECTION; BEGIN ROUTE,c3ba1e6a-8ae8-497b-b4fb-361efa63719c,2022,-13655398.3679646,5955554.9114723
4168,12/31/2022 8:00:00 AM,005S123255,005,S1,23255,0.06,6000,6.11,6.45,1.35,Southeast,S1 RAMP (COOK RD TO SR 5 SB)  AFTER MILEPOST 0.00: COOK RD INTERSECTION; BEGIN ROUTE,135ec42d-ced8-4f97-838c-3e855d7f5fe4,2022,-13618819.2907456,6191636.9651921
4169,12/31/2022 8:00:00 AM,005R118097,005,R1,18097,0.27,1200,,,,Southwest,R1 RAMP (SR 5 SB TO PARK & RIDE)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE,1fad0ac9-bac4-4fd1-921e-112413bfb594,2022,-13613578.6882615,6075914.50894299
4170,12/31/2022 8:00:00 AM,082P103096,082,P1,03096,0.07,12000,,,,Southeast,P1 RAMP (SR 82 EB TO N FIRST ST)  AFTER MILEPOST 0.00: SR 82 EB INTERSECTION; BEGIN ROUTE,29709eab-2eb9-47d3-85e4-7a0c4fd2a6d1,2022,-13415609.9981282,5881716.16624968
4171,12/31/2022 8:00:00 AM,005P110255,005,P1,10255,0.23,2600,,,,Northeast,P1 RAMP (SR 5 NB TO TROSPER RD)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE,9532188a-6ecc-43c6-988a-c1f509caadf2,2022,-13682372.0323717,5941899.86500141
4172,12/31/2022 8:00:00 AM,005S100703,005,S1,00703,0.05,6900,1.65,0.73,0.04,Southeast,S1 RAMP (NE 134TH ST TO SR 5 SB)  AFTER MILEPOST 0.01: LX00724 WYE CONNECTION,208332bc-d032-4c9e-85aa-ec87d6d73f16,2022,-13653984.2528424,5735202.75868263
4173,12/31/2022 8:00:00 AM,012R134166,012,R1,34166,0.44,100,9.47,6.32,0,Southwest,R1 RAMP (SR 12 WB TO MILL CRK RD)  AFTER MILEPOST 0.00: SR 12 WB INTERSECTION; BEGIN ROUTE,a309ae7b-cbd8-4876-81e1-97b4270296f7,2022,-13164961.9185297,5794207.13978355
4174,12/31/2022 8:00:00 AM,005S107632,005,S1,07632,0.05,2100,,,,Southeast,"S1 RAMP (13TH ST TO SR 5 SB)  AFTER MILEPOST 0.00: 13TH ST, LX07655 INTERSECTION; BEGIN ROUTE",9f099413-64b1-4fba-9825-c71439e6edd2,2022,-13687677.2346134,5884362.8352349
4175,12/31/2022 8:00:00 AM,005R113089,005,R1,13089,0.15,6000,,,,Southwest,R1 RAMP (CD13108 TO TACOMA ML BLV)  AFTER MILEPOST 0.00: CD13108 INTERSECTION; BEGIN ROUTE,1243e85f-eb90-499b-ae12-9c7f4867651a,2022,-13632532.9166004,5976021.32638902
4176,12/31/2022 8:00:00 AM,028S500380B,028,S5,00380B,0.37,6100,,,,Northeast,S5 RAMP (SR 285 SB TO SR 28 WB)  AFTER MILEPOST 0.34: S600380B OFF RAMP,7affd88b-4bcf-43d1-adb1-fbed3756f58b,2022,-13391021.2621597,6009530.11550843
4177,12/31/2022 8:00:00 AM,005P122941,005,P1,22941,0.64,13000,,,,Northeast,P1 RAMP (SR 5 NB TO SR 20)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE,3975ece4-bfbf-4846-a524-1c8ae53a1541,2022,-13618949.5780822,6185257.46883107
4178,12/31/2022 8:00:00 AM,016R100254,016,R1,00254,0.18,3800,,,,Southwest,R1 RAMP (SR 16 EB TO S ORCHARD ST)  AFTER MILEPOST 0.00: SR 16 EB INTERSECTION; BEGIN ROUTE,17ef0bbf-21d8-4bc9-9ed6-3783fc4ab461,2022,-13637051.7186615,5981491.29074564
4179,12/31/2022 8:00:00 AM,005Q102318,005,Q1,02318,0.1,3300,7.01,6.34,1.4,Northwest,Q1 RAMP (DIKE ACCESS RD TO SR 5)  AFTER MILEPOST 0.00: LX02272 ROUNDABOUT; BEGIN ROUTE,3d3af120-4888-4598-a751-145f2c23d906,2022,-13665181.3945688,5768965.3285681
